run_dir,best_objective,final_iteration,first_success_iteration,success
output_20250926-071938,1.4268437561265235,199,,False
output_20250926-072104,0.8753300255087564,199,,False
output_20250926-072226,0.17997828236154279,199,,False
output_20250926-072352,1.8564995075539632,199,,False
output_20250926-072515,2.7746189601207836,199,,False
output_20250926-072645,1.1856967971326609,199,,False
output_20250926-072813,3.9015948275201784,199,,False
output_20250926-072944,1.4540665536720536,199,,False
output_20250926-073107,1.508529533318058,199,,False
output_20250926-073227,2.355121222076644,199,,False
output_20250926-073409,1.1930773026786068,199,,False
output_20250926-073531,2.054774558037306,199,,False
output_20250926-073653,2.0526052441944285,199,,False
output_20250926-073809,1.3392157531120152,199,,False
output_20250926-073931,1.026097669935393,199,,False
output_20250926-074050,3.5251957324063956,199,,False
output_20250926-074211,1.757563404249972,199,,False
output_20250926-074337,1.4542356723098888,199,,False
output_20250926-074500,2.1532786230809475,199,,False
output_20250926-074628,2.2394603887451585,199,,False
output_20250926-074754,1.912118795747244,199,,False
output_20250926-074917,2.4018902531703756,199,,False
output_20250926-075038,1.0073560531955832,199,,False
output_20250926-075159,0.8863776693617429,199,,False
output_20250926-075319,0.5353158720923941,199,,False
output_20250926-075459,2.2355719803999077,199,,False
output_20250926-075632,1.6444881590360265,199,,False
output_20250926-075757,0.6253447525485112,199,,False
output_20250926-075931,0.9699571384869974,199,,False
output_20250926-080058,0.404038869670718,199,,False
output_20250926-080227,1.9858197965653486,199,,False
output_20250926-080350,1.7825724312782367,199,,False
output_20250926-080511,1.902824737257117,199,,False
output_20250926-080633,1.7427635081482973,199,,False
output_20250926-080803,2.7875099199679068,199,,False
output_20250926-080923,0.05969036493020541,199,,False
output_20250926-081045,0.297161839044517,199,,False
output_20250926-081207,2.388476001452869,199,,False
output_20250926-081325,0.3267666625916914,199,,False
output_20250926-081446,1.8524751861516155,199,,False
output_20250926-081608,1.891009420066038,199,,False
output_20250926-081723,2.0743303373262703,199,,False
output_20250926-081841,2.6166957232846504,199,,False
output_20250926-082000,1.7861613690913427,199,,False
output_20250926-082131,2.4374696490400187,199,,False
output_20250926-082253,2.6348002030699758,199,,False
output_20250926-082407,2.5207907717585845,199,,False
output_20250926-082530,0.30720655552205445,199,,False
output_20250926-082655,2.6307093382472506,199,,False
output_20250926-082817,2.17580161589185,199,,False
output_20250926-082948,2.053110353881508,199,,False
output_20250926-083108,1.301464040014935,199,,False
output_20250926-083233,0.24426772057310986,199,,False
output_20250926-083356,0.8640362272060007,199,,False
output_20250926-083520,0.4441554641790373,199,,False
output_20250926-083644,1.8791733045618177,199,,False
output_20250926-083801,1.3390595421272846,199,,False
output_20250926-083918,1.710210468106521,199,,False
output_20250926-084042,2.557018718401953,199,,False
output_20250926-084210,2.361579933138025,199,,False
output_20250926-084333,1.9161803604590522,199,,False
output_20250926-084456,2.3343846685924494,199,,False
output_20250926-084616,0.6816959134601999,199,,False
output_20250926-084740,0.2094799334010884,199,,False
output_20250926-084928,3.174580276464351,199,,False
output_20250926-085045,2.0035943092466977,199,,False
output_20250926-085212,1.3522183472009393,199,,False
output_20250926-085335,1.8120459693739375,199,,False
output_20250926-085506,1.2199220893486609,199,,False
output_20250926-085644,2.4308827697838997,199,,False
output_20250926-085804,2.2022233305551677,199,,False
output_20250926-085922,1.6638679961706981,199,,False
output_20250926-090047,2.0457157966291857,199,,False
output_20250926-090232,3.8235933977306336,199,,False
output_20250926-090356,1.9594312241979748,199,,False
output_20250926-090520,1.5768452674505267,199,,False
output_20250926-090642,2.2816188350178312,199,,False
output_20250926-090800,1.9095559613993633,199,,False
output_20250926-090922,0.5309301871082721,199,,False
output_20250926-091048,2.459561573593707,199,,False
output_20250926-091204,0.8742060404835041,199,,False
output_20250926-091329,1.5252289428106711,199,,False
output_20250926-091458,0.28019730284723154,199,,False
output_20250926-091618,1.816460591606806,199,,False
output_20250926-091741,1.38345026759615,199,,False
output_20250926-091904,1.2063441488876312,199,,False
output_20250926-092024,1.6690751830084953,199,,False
output_20250926-092151,1.9728963819102252,199,,False
output_20250926-092310,0.551349788946482,199,,False
output_20250926-092423,2.970504306666904,199,,False
output_20250926-092601,0.897800610129885,199,,False
output_20250926-092721,2.1555304195298146,199,,False
output_20250926-092839,1.8716136049231449,199,,False
output_20250926-093000,2.3940212638787775,199,,False
output_20250926-093125,1.4296184907071035,199,,False
output_20250926-093311,2.50183217294919,199,,False
output_20250926-093431,2.1595013604265856,199,,False
output_20250926-093555,1.491604884777701,199,,False
output_20250926-093716,2.0456094706007453,199,,False
output_20250926-093838,0.6568089597000264,199,,False
