model_id,model_type,target_variable,equation,complexity,loss
20251010_212538_v2sJPa,flame_classifier,alpha,(tanh((((phi * phi) / 0.1555563) ^ ar) * (eps_1 / (u_avg * 0.5385095))) ^ ((a_1 * ((phi * 1.3230652) - ar)) * (((sqrt(u_avg) * -0.019072663) / lt_0) - -0.42732748))) ^ (1.2448077 ^ ((sqrt(eps_1) * a_1) * 0.07756946)),40,0.0015706882
20251011_002313_5y7mPP,flame_surrogate,peak_temp,((-4.4448166 / lt_1) + (((((ar + 52.32463) * phi) + ((abs((0.31438735 / lt_1) - (((phi * 60.045013) + -26.869356) / u_avg)) - (a_1 * 0.00877954)) * eps_0)) * -22.093985) + 3580.742)) * phi,34,1189.238
20251011_004118_5J9e4I,flame_surrogate,pressure_drop,abs((((19.618101 / (eps_0 ^ ar)) + abs(((10227.975 / ar) - -747.21985) * (((u_avg / (eps_1 ^ 2.849905)) - (phi * 1.3682126)) * phi))) * phi) * (eps_0 + ((-117.0736 / a_1) + -1.2461119))),35,758035.9
20251011_010719_oVKpBh,flame_surrogate,x_peak_temp,(((0.121049255 - (u_avg * ((a_1 * -3.095461e-5) - 0.030999534))) / phi) + -0.20286718) / sqrt(eps_1 / (0.07169062 - abs((0.0684803 - lt_1) * ((ar * (0.27696922 / phi)) - ((eps_1 + phi) / u_avg))))),35,2.2367136e-05
20251011_012252_mQd6jn,flame_surrogate,outlet_velocity,(((((u_avg - 0.074130625) + (((0.6118055 - phi) * eps_0) * 1.218382)) / ar) - 0.08245268) * ((4.354683 ^ phi) - (((u_avg / (phi ^ 6.6918902)) / ((lt_1 / a_1) / 1.9612003e-6)) + -3.6320436))) + 0.36264047,35,0.023053152
20251011_014513_z5mtkr,flame_surrogate,radiative_efficiency,tanh(sqrt(ar * (0.033107847 / sqrt(u_avg))) - (abs((u_avg / (phi - ((tanh(lt_1 / -0.33472285) + 0.530116) / (eps_1 ^ 0.110800155)))) + ((phi - (lt_1 * 7.651003)) / -0.18806067)) * 0.014762474)),34,0.00013471884
20251011_020310_HcETM0,no_flame_surrogate,pressure_drop,((((10.657699 / lt_0) / eps_1) + (((1907.9698 - ((u_avg * ((-1.929231 / lt_1) - ((242.21515 / ar) / ar))) / (eps_1 ^ (eps_0 - -3.15043)))) + (-9.665854 / lt_0)) / eps_0)) + -2365.6792) * u_avg,35,262663.34
20251011_022928_p5nFcU,no_flame_surrogate,outlet_velocity,tanh((0.52097124 / ((ar + ((((((lt_1 / eps_1) - 0.0248695) / (eps_0 + -0.23611252)) * (-0.55701584 / eps_1)) - k_0) * 0.022242285)) - 0.7066063)) - (-0.17581312 - (ar * -0.018146198))) * (u_avg + -0.0050839707),34,0.000109852124
