run_id,run_dir,execution_time,generations,population_size,problem_dimension,num_objectives
1,output_20250928-231602,25.1,251,100,5,2
2,output_20250928-231629,25.1,251,100,5,2
3,output_20250928-231656,25.1,251,100,5,2
4,output_20250928-231723,25.1,251,100,5,2
5,output_20250928-231749,25.1,251,100,5,2
6,output_20250928-231816,25.1,251,100,5,2
7,output_20250928-231842,25.1,251,100,5,2
8,output_20250928-231909,25.1,251,100,5,2
9,output_20250928-231935,25.1,251,100,5,2
10,output_20250928-232003,25.1,251,100,5,2
11,output_20250928-232030,25.1,251,100,5,2
12,output_20250928-232050,25.1,251,100,5,2
13,output_20250928-232118,25.1,251,100,5,2
14,output_20250928-232145,25.1,251,100,5,2
15,output_20250928-232212,25.1,251,100,5,2
16,output_20250928-232238,25.1,251,100,5,2
17,output_20250928-232305,25.1,251,100,5,2
18,output_20250928-232333,25.1,251,100,5,2
19,output_20250928-232400,25.1,251,100,5,2
20,output_20250928-232427,25.1,251,100,5,2
21,output_20250928-232454,25.1,251,100,5,2
22,output_20250928-232521,25.1,251,100,5,2
23,output_20250928-232548,25.1,251,100,5,2
24,output_20250928-232615,25.1,251,100,5,2
25,output_20250928-232639,25.1,251,100,5,2
26,output_20250928-232706,25.1,251,100,5,2
27,output_20250928-232733,25.1,251,100,5,2
28,output_20250928-232801,25.1,251,100,5,2
29,output_20250928-232828,25.1,251,100,5,2
30,output_20250928-232854,25.1,251,100,5,2
31,output_20250928-232921,25.1,251,100,5,2
32,output_20250928-232948,25.1,251,100,5,2
33,output_20250928-233015,25.1,251,100,5,2
34,output_20250928-233042,25.1,251,100,5,2
35,output_20250928-233108,25.1,251,100,5,2
36,output_20250928-233136,25.1,251,100,5,2
37,output_20250928-233156,25.1,251,100,5,2
38,output_20250928-233223,25.1,251,100,5,2
39,output_20250928-233251,25.1,251,100,5,2
40,output_20250928-233317,25.1,251,100,5,2
41,output_20250928-233344,25.1,251,100,5,2
42,output_20250928-233411,25.1,251,100,5,2
43,output_20250928-233437,25.1,251,100,5,2
44,output_20250928-233503,25.1,251,100,5,2
45,output_20250928-233531,25.1,251,100,5,2
46,output_20250928-233557,25.1,251,100,5,2
47,output_20250928-233624,25.1,251,100,5,2
48,output_20250928-233652,25.1,251,100,5,2
49,output_20250928-233719,25.1,251,100,5,2
50,output_20250928-233746,25.1,251,100,5,2
51,output_20250928-233812,25.1,251,100,5,2
52,output_20250928-233838,25.1,251,100,5,2
53,output_20250928-233905,25.1,251,100,5,2
54,output_20250928-233932,25.1,251,100,5,2
55,output_20250928-233959,25.1,251,100,5,2
56,output_20250928-234026,25.1,251,100,5,2
57,output_20250928-234053,25.1,251,100,5,2
58,output_20250928-234121,25.1,251,100,5,2
59,output_20250928-234147,25.1,251,100,5,2
60,output_20250928-234211,25.1,251,100,5,2
61,output_20250928-234236,25.1,251,100,5,2
62,output_20250928-234258,25.1,251,100,5,2
63,output_20250928-234325,25.1,251,100,5,2
64,output_20250928-234352,25.1,251,100,5,2
65,output_20250928-234418,25.1,251,100,5,2
66,output_20250928-234445,25.1,251,100,5,2
67,output_20250928-234511,25.1,251,100,5,2
68,output_20250928-234538,25.1,251,100,5,2
69,output_20250928-234606,25.1,251,100,5,2
70,output_20250928-234633,25.1,251,100,5,2
71,output_20250928-234700,25.1,251,100,5,2
72,output_20250928-234727,25.1,251,100,5,2
73,output_20250928-234754,25.1,251,100,5,2
74,output_20250928-234821,25.1,251,100,5,2
75,output_20250928-234848,25.1,251,100,5,2
76,output_20250928-234916,25.1,251,100,5,2
77,output_20250928-234942,25.1,251,100,5,2
78,output_20250928-235009,25.1,251,100,5,2
79,output_20250928-235036,25.1,251,100,5,2
80,output_20250928-235103,25.1,251,100,5,2
81,output_20250928-235130,25.1,251,100,5,2
82,output_20250928-235158,25.1,251,100,5,2
83,output_20250928-235225,25.1,251,100,5,2
84,output_20250928-235253,25.1,251,100,5,2
85,output_20250928-235322,25.1,251,100,5,2
86,output_20250928-235348,25.1,251,100,5,2
87,output_20250928-235415,25.1,251,100,5,2
88,output_20250928-235442,25.1,251,100,5,2
89,output_20250928-235510,25.1,251,100,5,2
90,output_20250928-235537,25.1,251,100,5,2
91,output_20250928-235603,25.1,251,100,5,2
92,output_20250928-235629,25.1,251,100,5,2
93,output_20250928-235656,25.1,251,100,5,2
94,output_20250928-235723,25.1,251,100,5,2
95,output_20250928-235751,25.1,251,100,5,2
96,output_20250928-235818,25.1,251,100,5,2
97,output_20250928-235845,25.1,251,100,5,2
98,output_20250928-235913,25.1,251,100,5,2
99,output_20250928-235941,25.1,251,100,5,2
100,output_20250929-000008,25.1,251,100,5,2
