run_dir,best_objective,final_iteration,first_success_iteration
output_20250928-155936,0.006681867007365821,180,
output_20250928-160128,0.022745827851004253,180,
output_20250928-160257,0.00409602572693057,180,
output_20250928-160429,0.020315711722716366,180,
output_20250928-160557,0.0034503927375898868,180,
output_20250928-160739,0.006593925702841314,180,
output_20250928-160915,0.013151952507164496,180,
output_20250928-161050,0.002329968009461645,180,
output_20250928-161221,0.009322850804538678,180,
output_20250928-161355,0.019038165813474207,180,
output_20250928-161536,0.00573813514543243,180,
output_20250928-161723,0.016801641381479958,180,
output_20250928-161858,0.001599301686764143,180,
output_20250928-162038,0.007767195692309556,180,
output_20250928-162202,0.011787565996905692,180,
output_20250928-162336,0.04397125674751237,180,
output_20250928-162508,0.012026190933122755,180,
output_20250928-162640,0.0022283483332790513,180,
output_20250928-162810,0.00258207176948698,180,
output_20250928-162947,0.007784207023475176,180,
output_20250928-163121,0.009288934386301548,180,
output_20250928-163253,0.01656326627244294,180,
output_20250928-163430,0.04075785279026242,180,
output_20250928-163608,0.021076372425499167,180,
output_20250928-163738,0.014632450876468398,180,
output_20250928-163908,0.0023418344856379037,180,
output_20250928-164042,0.0032355850882878024,180,
output_20250928-164225,0.0025651032273211883,180,
output_20250928-164404,0.020394098454978575,180,
output_20250928-164538,0.028363657432507152,180,
output_20250928-164707,0.0031528391696591562,180,
output_20250928-164857,0.00887451780990494,180,
output_20250928-165035,0.021303506100997797,180,
output_20250928-165222,0.0437285350944477,180,
output_20250928-165352,0.00022735503157498727,180,
output_20250928-165522,0.0070134317554939,180,
output_20250928-165649,0.023396637218640794,180,
output_20250928-165817,0.0037686021995781615,180,
output_20250928-165947,0.006754528249410363,180,
output_20250928-170117,0.014678657671920163,180,
output_20250928-170258,0.010522685912817078,180,
output_20250928-170432,0.006804594129110271,180,
output_20250928-170604,0.028961488109200684,180,
output_20250928-170736,0.008120551578849593,180,
output_20250928-170909,0.008726359783466418,180,
output_20250928-171050,0.008443366948896625,180,
output_20250928-171230,0.014320521691281379,180,
output_20250928-171405,0.007138120017371836,180,
output_20250928-171541,0.003864050505954655,180,
output_20250928-171713,0.002096991835319351,180,
output_20250928-171841,0.006890156534357335,180,
output_20250928-172018,0.025367893797719053,180,
output_20250928-172152,0.011497706859041478,180,
output_20250928-172318,0.012048584731622238,180,
output_20250928-172453,0.023990215791175357,180,
output_20250928-172632,0.004744010020476584,180,
output_20250928-172803,0.006587958705632247,180,
output_20250928-172933,0.0402531884781831,180,
output_20250928-173110,0.018236844778944283,180,
output_20250928-173245,0.010660733640583224,180,
output_20250928-173411,0.011786710743846776,180,
output_20250928-173545,0.012092962268776954,180,
output_20250928-173707,0.0013628016383147568,180,
output_20250928-173836,0.017615725562122916,180,
output_20250928-173958,0.04155254826930934,180,
output_20250928-174128,0.010206950779464563,180,
output_20250928-174258,0.040192040799386465,180,
output_20250928-174422,0.025698693385542724,180,
output_20250928-174607,0.043161063878685936,180,
output_20250928-174737,0.015584215276316035,180,
output_20250928-174858,0.003579167048691474,180,
output_20250928-175042,0.002980516443342083,180,
output_20250928-175220,0.015478061406229706,180,
output_20250928-175359,0.011426607523166777,180,
output_20250928-175537,0.02719087261083928,180,
output_20250928-175712,0.011833087212253908,180,
output_20250928-175852,0.00038656792117976126,180,
output_20250928-180023,0.03125673080657279,180,
output_20250928-180155,0.030515587172181623,180,
output_20250928-180331,7.460797271651388e-05,180,
output_20250928-180458,0.01803611751016099,180,
output_20250928-180636,0.013497834622289649,180,
output_20250928-180810,0.00780760016611513,180,
output_20250928-180946,0.01231058003141742,180,
output_20250928-181120,0.01942638728468779,180,
output_20250928-181256,0.025669494029068176,180,
output_20250928-181428,0.005170550687473288,180,
output_20250928-181607,0.03549872014009104,180,
output_20250928-181743,0.008192361559758173,180,
output_20250928-181910,0.020715538949223743,180,
output_20250928-182055,0.009869125256579157,180,
output_20250928-182233,0.04552403479711197,180,
output_20250928-182405,0.0046016217783784955,180,
output_20250928-182534,0.00365101867352589,180,
output_20250928-182703,0.008410747876768489,180,
output_20250928-182848,0.001363155284778621,180,
output_20250928-183028,0.0014284391579953493,180,
output_20250928-183156,0.023776388569843317,180,
output_20250928-183326,0.021288990688381304,180,
output_20250928-183500,0.008394766206409781,180,
