iteration,candidate_index,objective,phi_n,u_avg_n,ar_n,lt_0_n,lt_1_n,eps_1_n,a_1_n,phi,u_avg,ar,lt_0,lt_1,eps_1,a_1
55,0,-0.44761332209800997,0.7116111481568554,0.003558512773733582,0.997401967318472,0.17473742982014018,0.5919640955561556,0.3547854554727514,0.1501376273525807,0.7269666888941133,0.5067611742700938,4.98986767254204,0.0067473742982014015,0.05959820477780778,0.5951320005100132,460.0550509410323
55,1,-0.4169943042345056,0.7115936581531839,0.08612398259359762,0.997409825224821,0.19161286287469403,0.5913139501154341,0.4463092268983222,0.16424146783689658,0.7269561948919103,0.6636355669278354,4.989898318376802,0.0069161286287469405,0.0595656975057717,0.6454700747940771,465.6965871347586
55,2,-0.44725078470485474,0.7115936581531839,0.0042087752372916435,0.997409825224821,0.19161286287469403,0.5913139501154341,0.4463092268983222,0.16424146783689658,0.7269561948919103,0.5079966729508542,4.989898318376802,0.0069161286287469405,0.0595656975057717,0.6454700747940771,465.6965871347586
55,3,-0.44742397689359265,0.7116357197510159,0.0038943199831492853,0.997409825224821,0.08929286166547257,0.5922854520914326,0.40739238757027063,0.15247268090262855,0.7269814318506096,0.5073992079679837,4.989898318376802,0.005892928616654726,0.059614272604571625,0.6240658131636488,460.9890723610514
55,4,-0.4473580583870851,0.7116719060909209,0.0038265800124028383,0.997401967318472,0.14929646443364,0.5926552269160013,0.2665088810390007,0.1563060353483503,0.7270031436545525,0.5072705020235654,4.98986767254204,0.0064929646443364,0.05963276134580006,0.5465798845714505,462.5224141393401
55,5,-0.44274016426795093,0.7116887760696917,0.004470055703523209,0.997401967318472,0.17473742982014018,0.8537086376518527,0.3815450431461299,0.16625961610136292,0.7270132656418151,0.508493105836694,4.98986767254204,0.0067473742982014015,0.07268543188259263,0.6098497737303714,466.50384644054515
55,6,-0.44723057532101845,0.7116887760696917,0.0038550894315009725,0.997401967318472,0.17473742982014018,0.6100845293749553,0.35535155959809084,0.1501376273525807,0.7270132656418151,0.5073246699198518,4.98986767254204,0.0067473742982014015,0.060504226468747764,0.59544335777895,460.0550509410323
55,7,0.0,0.7116171661077921,-0.06509891263806501,0.9974147301406077,0.18605167014126295,0.5771378834007955,0.4046355266934202,0.012566502335731894,0.7269702996646754,0.37631206598767647,4.98991744754837,0.006860516701412629,0.05885689417003978,0.6225495396813812,405.02660093429273
55,8,-0.4435977635210815,0.7116831761438834,0.005773117521192061,0.997414627533632,0.1789247906747618,0.38724017531332666,0.40493270288522976,0.16963226312751156,0.7270099056863302,0.5109689232902649,4.989917047381164,0.006789247906747618,0.049362008765666335,0.6227129865868763,467.85290525100464
55,9,0.0,0.7116887760696917,0.0047666323612906,1.074451064395324,0.17473742982014018,0.5917519994329001,0.6104602783826334,0.15277800924946172,0.7270132656418151,0.5090566014864522,5.2903591511417645,0.0067473742982014015,0.059587599971645006,0.7357531531104484,461.1112036997847
55,10,-0.4471975192290937,0.7116887760696917,0.0047666323612906,0.997401967318472,0.17473742982014018,0.5917519994329001,0.3815450431461299,0.15277800924946172,0.7270132656418151,0.5090566014864522,4.98986767254204,0.0067473742982014015,0.059587599971645006,0.6098497737303714,461.1112036997847
55,11,0.0,0.7115815782767401,-0.11329913444194682,0.9974211306236631,0.19346123941370888,0.5956681723193422,0.47818949498654084,0.16221643755366996,0.7269489469660442,0.2847316445603011,4.989942409432286,0.006934612394137089,0.05978340861596711,0.6630042222425975,464.886575021468
55,12,-0.44697540444141975,0.7115785837307336,0.005318858281248645,0.9974198152330395,0.18522357370557863,0.5951185800990986,0.42215259935533056,0.15293348183100958,0.7269471502384401,0.5101058307343724,4.989937279408855,0.006852235737055786,0.059755929004954925,0.6321839296454318,461.17339273240384
55,13,-0.4470919911762811,0.7116887760696917,0.0047666323612906,0.997401967318472,0.17473742982014018,0.5917519994329001,0.44226969037609437,0.15277800924946172,0.7270132656418151,0.5090566014864522,4.98986767254204,0.0067473742982014015,0.059587599971645006,0.6432483297068519,461.1112036997847
55,14,-0.4471975192290937,0.7116887760696917,0.0047666323612906,0.997401967318472,0.17473742982014018,0.5917519994329001,0.3815450431461299,0.15277800924946172,0.7270132656418151,0.5090566014864522,4.98986767254204,0.0067473742982014015,0.059587599971645006,0.6098497737303714,461.1112036997847
55,15,-0.4466773539096149,0.7109034451845544,0.005053798643345054,0.9974212267804087,0.23833239900990597,0.5743980864274504,0.4990924860037155,0.16020714122888785,0.7265420671107328,0.5096022174223556,4.989942784443594,0.007383323990099059,0.058719904321372515,0.6745008673020435,464.08285649155516
55,16,-0.4460112296454131,0.7116887760696917,0.003558512773733582,0.997401967318472,0.17473742982014018,0.689150055204293,0.35535155959809084,0.1501376273525807,0.7270132656418151,0.5067611742700938,4.98986767254204,0.0067473742982014015,0.06445750276021464,0.59544335777895,460.0550509410323
55,17,-0.44696764081302653,0.7115302245426736,0.004929901813416663,0.9964409898755029,0.19938209303665616,0.5978763562994704,0.4368684823949424,0.14465986894699884,0.7269181347256042,0.5093668134454916,4.986119860514462,0.006993820930366561,0.05989381781497352,0.6402776653172183,457.8639475787995
55,18,-0.4415208100511896,0.6859165135537774,0.005212182562930401,0.9732858565195887,0.23324111350433285,0.6093947803122122,0.4964417472491111,0.1546870038119262,0.7115499081322665,0.5099031468695677,4.895814840426396,0.007332411135043328,0.060469739015610605,0.6730429609870111,461.8748015247705
55,19,-0.4439239841745819,0.7613758696233083,0.004707113380072785,0.9974191787192451,0.14423423372992,0.596893294885813,0.510029665036095,0.16190254555255448,0.756825521773985,0.5089435154221383,4.989934797005056,0.0064423423372992,0.05984466474429065,0.6805163157698523,464.7610182210218
55,20,-0.44713422789631957,0.7116883302939699,0.0047522602187303,0.9974072233685214,0.1618231295079353,0.593016306288383,0.43280621564872124,0.1579935041410374,0.727012998176382,0.5090292944155875,4.989888171137233,0.006618231295079353,0.05965081531441915,0.6380434186067967,463.19740165641497
55,21,-0.4464634311786714,0.7116751341293056,0.0067052701308696495,0.9974147301406077,0.1769671610783542,0.592381325068954,0.4336189532126784,0.11680846148514269,0.7270050804775834,0.5127400132486524,4.98991744754837,0.0067696716107835415,0.059619066253447706,0.6384904242669731,446.72338459405705
55,22,-0.44169560265391455,0.7116887760696917,0.013962921588180442,0.997401967318472,0.08038987659068794,0.689150055204293,0.35885483157088405,0.15079217432542127,0.7270132656418151,0.5265295510175428,4.98986767254204,0.00580389876590688,0.06445750276021464,0.5973701573639862,460.3168697301685
