iteration,individual,solution
0,0,0.254810,0.949030,0.147114,0.349085,0.196163
0,1,0.001258,0.662793,0.203756,0.029492,0.868571
0,2,0.029566,0.066316,0.897787,0.560924,0.393585
0,3,0.282429,0.578385,0.196602,0.820682,0.437713
0,4,0.589273,0.289122,0.063657,0.869385,0.330407
0,5,0.333945,0.041896,0.013813,0.736526,0.292272
0,6,0.345446,0.860846,0.603780,0.527410,0.299625
0,7,0.467368,0.702056,0.414343,0.156626,0.341294
0,8,0.936817,0.532151,0.519080,0.231022,0.117113
0,9,0.625536,0.749019,0.250270,0.742427,0.871514
0,10,0.633800,0.995205,0.009403,0.921078,0.618906
0,11,0.746484,0.040188,0.616896,0.434166,0.888689
0,12,0.765627,0.744950,0.662207,0.663557,0.454254
0,13,0.513100,0.738541,0.820740,0.924766,0.735897
0,14,0.788263,0.973245,0.540442,0.319854,0.613644
0,15,0.506380,0.441339,0.248803,0.811156,0.576987
0,16,0.340792,0.327429,0.115058,0.786228,0.882117
0,17,0.267801,0.726282,0.859010,0.649139,0.740043
0,18,0.647807,0.738741,0.662676,0.408852,0.510924
0,19,0.732660,0.408825,0.972362,0.503788,0.171059
0,20,0.433605,0.597911,0.832760,0.236126,0.828840
0,21,0.185364,0.433594,0.287316,0.722268,0.118319
0,22,0.048400,0.388186,0.636767,0.351315,0.480759
0,23,0.377677,0.789626,0.257633,0.671449,0.407833
0,24,0.927156,0.446396,0.150536,0.327650,0.531458
0,25,0.466668,0.972805,0.268621,0.327779,0.239887
0,26,0.625723,0.467694,0.603152,0.813377,0.772125
0,27,0.547040,0.989748,0.958601,0.429190,0.801144
0,28,0.930211,0.104433,0.741032,0.242454,0.294743
0,29,0.114267,0.214607,0.571019,0.800556,0.249521
0,30,0.742662,0.861721,0.585330,0.243200,0.394177
0,31,0.401514,0.328266,0.542695,0.118627,0.101238
0,32,0.636697,0.813215,0.432440,0.166148,0.150827
0,33,0.029286,0.220420,0.808507,0.256873,0.600773
0,34,0.157402,0.062636,0.679625,0.515276,0.753406
0,35,0.657793,0.865443,0.937954,0.947524,0.371507
0,36,0.512962,0.056109,0.732144,0.477225,0.298688
0,37,0.223749,0.670704,0.883028,0.373776,0.297635
0,38,0.657915,0.280811,0.589422,0.811950,0.238028
0,39,0.832790,0.521361,0.121939,0.732848,0.619277
0,40,0.736743,0.730667,0.193152,0.298924,0.274389
0,41,0.667530,0.582990,0.530787,0.600043,0.477964
0,42,0.344469,0.652661,0.520021,0.413837,0.406151
