iteration,individual,f1,f2
0,0,0.2548099498309647,4.610071819954112
0,1,0.0012577703681470043,6.174377396611502
0,2,0.029566281729897392,5.382345312568052
0,3,0.2824286574771363,3.8462336088846727
0,4,0.5892726487316553,3.571067418965692
0,5,0.3339450841890098,2.1080233939653663
0,6,0.3454457111530398,3.629602995505544
0,7,0.4673677496655637,3.2211770331353184
0,8,0.9368171195145605,3.462534357492913
0,9,0.6255359893110886,5.451835059001162
0,10,0.6338003912979696,4.752162477021499
0,11,0.7464844002172066,3.854587939124386
0,12,0.76562742304599,4.970482722073201
0,13,0.5131003559819522,4.998293352107179
0,14,0.788262561576199,3.9131394523410754
0,15,0.5063800024113475,3.828499107108404
0,16,0.3407918390762309,4.228193683514111
0,17,0.2678013039721072,5.543416240677395
0,18,0.6478074584025675,3.982506182627196
0,19,0.7326599735028678,3.3029023598244396
0,20,0.433604893526775,3.953027522877025
0,21,0.18536449989351111,3.9907016321399102
0,22,0.04839963170606676,4.70429645097432
0,23,0.37767684220495856,4.6019200441575165
0,24,0.9271557329139564,2.8762979983653953
0,25,0.46666809441455637,3.389017548945078
0,26,0.6257231102973305,3.1554539841519507
0,27,0.5470396527970068,4.965353339168305
0,28,0.9302112065633695,3.0859023876291345
0,29,0.11426657418821273,5.030228169056195
0,30,0.7426621337807721,3.112477127535918
0,31,0.40151350212850834,3.6682589093087836
0,32,0.636696740912387,3.1164631295064313
0,33,0.02928636479730018,5.069361962167559
0,34,0.15740243049542046,4.240518329808702
0,35,0.6577925487569433,5.136032248319041
0,36,0.5129620849882269,3.9335285534530886
0,37,0.22374924113156525,3.970469689643839
0,38,0.657914830774519,3.293057001481193
0,39,0.8327895153863497,2.899564007897505
0,40,0.7367426883382939,2.1551950714127157
0,41,0.6675295908968928,3.4242694982567987
0,42,0.34446929817985716,4.523807350082632
0,43,0.3893543929734671,3.8711677455697413
0,44,0.9915037631239191,2.9513501982590427
0,45,0.7331384093403488,2.2680708263491627
0,46,0.9828512485739396,1.8275501571674244
0,47,0.116576266618444,4.850286715773084
0,48,0.9366150880301821,4.6713478296082105
0,49,0.767217181567607,2.7892061073179417
0,50,0.4779952554162117,4.5123710222395585
0,51,0.5700497094041023,4.1484088567952035
0,52,0.3795114068287967,2.907829433121457
0,53,0.8659398574405197,4.227901399601438
0,54,0.08876312805359654,5.591075818766291
0,55,0.533854268725961,3.51614731716193
0,56,0.06395647367141355,4.975773149742226
0,57,0.9636684849361965,3.755970949289329
0,58,0.5298763445531953,4.50877841853069
0,59,0.7016196156760479,3.256791786323679
0,60,0.07797775326753409,4.764974481845875
0,61,0.4085849603864591,3.5277788176845295
0,62,0.018555142121790325,4.807147617991154
0,63,0.22594944248976956,5.355441240964319
0,64,0.7744154313327087,3.0330866999683037
0,65,0.7177599054265535,3.222971845359605
0,66,0.10678496886321742,4.056803675665049
0,67,0.5502296771743181,4.050217827590311
0,68,0.1494775523969526,4.456762602669825
0,69,0.9720043179044519,3.0359436463410634
