example,total_runs,valid_runs,execution_time_max,execution_time_mean,execution_time_median,execution_time_min,execution_time_q25,execution_time_q50,execution_time_q75,execution_time_q95,execution_time_stdev,generations,hypervolume_max,hypervolume_mean,hypervolume_median,hypervolume_min,hypervolume_q25,hypervolume_q50,hypervolume_q75,hypervolume_q95,hypervolume_stdev,num_objectives,population_size,problem_dimension,spacing_max,spacing_mean,spacing_median,spacing_min,spacing_q25,spacing_q50,spacing_q75,spacing_q95,spacing_stdev
dtlz2,100,100,25.1,25.099999999999994,25.1,25.1,25.1,25.1,25.1,25.1,7.105427357601002e-15,251,0.3924141698510001,0.3148504313068501,0.31158144879350025,0.29780252821899994,0.30780543055349996,0.31158144879350025,0.3157369601064999,0.34129162893204995,0.013692980552848606,2,100,5,0.01969612761760638,0.010252156643142609,0.01000274189443344,0.005658724483711809,0.008719291310543772,0.01000274189443344,0.011412672485663853,0.014268377281831226,0.0023493557629587812
schaffer_n1,100,100,5.05,5.05,5.05,5.05,5.05,5.05,5.05,5.05,0.0,101,41.55356490602882,41.456654717445346,41.458000475600755,41.378993149262946,41.44568719441904,41.458000475600755,41.47213896920097,41.50305145935362,0.031015099199576623,2,50,1,0.07779973594998314,0.04597999851744771,0.04530013982082323,0.030535343182387854,0.04131168179784648,0.04530013982082323,0.04968997936428154,0.05716203778067219,0.006699873845220494
zdt1,100,100,25.1,25.099999999999994,25.1,25.1,25.1,25.1,25.1,25.1,7.105427357601002e-15,251,10.667087495939247,10.661689525420238,10.66325867059632,10.569191114406152,10.661942729375845,10.66325867059632,10.66465076781903,10.666328052458649,0.011453800043633146,2,100,5,0.01962885760173273,0.009117610768034592,0.007872565979852305,0.004688522544415598,0.006674311204679458,0.007872565979852305,0.011477305508233138,0.015283130649103669,0.0032039853697866144
zdt2,100,100,25.1,25.099999999999994,25.1,25.1,25.1,25.1,25.1,25.1,7.105427357601002e-15,251,10.335091626334068,10.327022077087594,10.327827219798351,10.317180315112562,10.324605501073785,10.327827219798351,10.329033255914,10.330981005236449,0.0030779995569545898,2,100,5,0.03589201015881171,0.008945302638904258,0.008556960222395327,0.006718879317507393,0.008035164087460519,0.008556960222395327,0.009241353277828044,0.010328819068624399,0.0028598117691728303
zdt3,100,100,25.1,25.099999999999994,25.1,25.1,25.1,25.1,25.1,25.1,7.105427357601002e-15,251,9.445145118854882,9.335213759095073,9.335595098924312,9.210026212393643,9.310355705575525,9.335595098924312,9.36434902641222,9.400129183864367,0.04094662257103376,2,100,5,0.020663762350738444,0.009899742001661323,0.009695764921297013,0.007243181339960846,0.008935277111515781,0.009695764921297013,0.010350849369304905,0.012801093160647536,0.0017599217251771711
